Price,Close,High,Low,Open,Volume
Ticker,STECON.BK,STECON.BK,STECON.BK,STECON.BK,STECON.BK
Date,,,,,
2024-10-30,9.0,9.399999618530273,8.75,9.100000381469727,10323700
2024-10-31,9.199999809265137,9.199999809265137,8.949999809265137,8.949999809265137,1706500
2024-11-01,9.050000190734863,9.199999809265137,8.949999809265137,9.100000381469727,2502300
2024-11-04,8.75,9.199999809265137,8.649999618530273,9.050000190734863,7746800
2024-11-05,8.899999618530273,8.899999618530273,8.699999809265137,8.75,1527200
2024-11-06,8.899999618530273,9.050000190734863,8.850000381469727,8.899999618530273,2778600
2024-11-07,8.899999618530273,9.0,8.899999618530273,8.949999809265137,425300
2024-11-08,8.899999618530273,9.050000190734863,8.899999618530273,8.899999618530273,921100
2024-11-11,8.399999618530273,8.899999618530273,8.350000381469727,8.899999618530273,3483800
2024-11-12,8.300000190734863,8.5,8.300000190734863,8.350000381469727,1051200
2024-11-13,8.0,8.25,7.949999809265137,8.199999809265137,3292800
2024-11-14,8.100000381469727,8.300000190734863,7.900000095367432,8.050000190734863,2514900
2024-11-15,7.800000190734863,8.149999618530273,7.699999809265137,8.0,3301400
2024-11-18,8.149999618530273,8.149999618530273,7.849999904632568,7.849999904632568,795800
2024-11-19,7.900000095367432,8.25,7.900000095367432,8.149999618530273,2631400
2024-11-20,8.0,8.0,7.800000190734863,7.949999809265137,459600
2024-11-21,7.800000190734863,7.949999809265137,7.699999809265137,7.949999809265137,3084400
2024-11-22,7.550000190734863,7.849999904632568,7.5,7.800000190734863,3034300
2024-11-25,7.550000190734863,7.650000095367432,7.5,7.599999904632568,5200300
2024-11-26,8.0,8.0,7.550000190734863,7.599999904632568,2116800
2024-11-27,7.650000095367432,8.0,7.599999904632568,8.0,2318700
2024-11-28,7.650000095367432,7.849999904632568,7.599999904632568,7.800000190734863,2130700
2024-11-29,7.949999809265137,8.0,7.650000095367432,7.650000095367432,2430300
2024-12-02,8.100000381469727,8.100000381469727,7.900000095367432,8.0,1635100
2024-12-03,8.449999809265137,8.550000190734863,8.0,8.0,5677400
2024-12-04,8.399999618530273,8.550000190734863,8.350000381469727,8.449999809265137,1211900
2024-12-06,8.800000190734863,8.850000381469727,8.350000381469727,8.5,4520300
2024-12-09,8.649999618530273,8.899999618530273,8.449999809265137,8.699999809265137,5250800
2024-12-11,8.449999809265137,8.699999809265137,8.399999618530273,8.550000190734863,1555900
2024-12-12,8.149999618530273,8.550000190734863,8.050000190734863,8.5,2190600
2024-12-13,8.25,8.350000381469727,8.0,8.149999618530273,1289800
2024-12-16,8.149999618530273,8.199999809265137,8.100000381469727,8.199999809265137,444100
2024-12-17,7.900000095367432,8.100000381469727,7.75,8.100000381469727,3667500
2024-12-18,7.5,7.949999809265137,7.349999904632568,7.900000095367432,6633800
2024-12-19,7.5,7.5,7.25,7.300000190734863,3889000
2024-12-20,7.150000095367432,7.5,7.099999904632568,7.5,4820500
2024-12-23,7.349999904632568,7.349999904632568,7.050000190734863,7.150000095367432,2382700
2024-12-24,7.349999904632568,7.400000095367432,7.199999809265137,7.300000190734863,1486800
2024-12-25,7.400000095367432,7.400000095367432,7.25,7.349999904632568,1888600
2024-12-26,7.25,7.400000095367432,7.050000190734863,7.400000095367432,3521200
2024-12-27,7.5,7.5,7.150000095367432,7.25,2478600
2024-12-30,7.699999809265137,7.75,7.349999904632568,7.400000095367432,1836600
2025-01-02,7.349999904632568,7.699999809265137,7.349999904632568,7.699999809265137,1961800
2025-01-03,7.199999809265137,7.449999809265137,7.199999809265137,7.349999904632568,1226700
2025-01-06,6.75,7.25,6.75,7.199999809265137,3501000
2025-01-07,6.800000190734863,7.0,6.800000190734863,6.800000190734863,1104300
2025-01-08,6.75,6.849999904632568,6.75,6.849999904632568,604600
2025-01-09,6.599999904632568,6.800000190734863,6.5,6.800000190734863,1394300
2025-01-10,6.449999809265137,6.650000095367432,6.400000095367432,6.650000095367432,1591000
2025-01-13,6.400000095367432,6.550000190734863,6.199999809265137,6.400000095367432,696400
2025-01-14,6.099999904632568,6.5,6.099999904632568,6.449999809265137,2464700
2025-01-15,6.199999809265137,6.25,6.050000190734863,6.199999809265137,637400
2025-01-16,6.050000190734863,6.25,6.050000190734863,6.199999809265137,808900
2025-01-17,6.0,6.099999904632568,5.949999809265137,6.050000190734863,1081300
2025-01-20,5.800000190734863,6.0,5.800000190734863,6.0,1308100
2025-01-21,5.949999809265137,6.050000190734863,5.800000190734863,5.800000190734863,984700
2025-01-22,5.949999809265137,6.25,5.949999809265137,6.050000190734863,1966100
2025-01-23,5.900000095367432,6.050000190734863,5.849999904632568,5.900000095367432,563700
2025-01-24,6.0,6.0,5.900000095367432,5.949999809265137,331100
2025-01-27,6.0,6.050000190734863,5.900000095367432,6.050000190734863,400500
2025-01-28,6.0,6.099999904632568,5.900000095367432,5.900000095367432,452900
2025-01-29,5.949999809265137,6.099999904632568,5.849999904632568,6.050000190734863,876600
2025-01-30,5.949999809265137,5.949999809265137,5.849999904632568,5.949999809265137,801000
2025-01-31,5.849999904632568,6.0,5.650000095367432,5.949999809265137,2285200
2025-02-03,5.699999809265137,5.75,5.650000095367432,5.75,629400
2025-02-04,5.400000095367432,5.75,5.400000095367432,5.75,2040200
2025-02-05,5.150000095367432,5.5,5.099999904632568,5.400000095367432,5630200
2025-02-06,4.840000152587891,5.25,4.840000152587891,5.150000095367432,3276300
2025-02-07,4.880000114440918,4.920000076293945,4.619999885559082,4.860000133514404,2175300
2025-02-10,4.659999847412109,4.820000171661377,4.619999885559082,4.820000171661377,2602000
2025-02-11,4.760000228881836,4.820000171661377,4.659999847412109,4.659999847412109,2608700
2025-02-13,4.300000190734863,4.699999809265137,4.300000190734863,4.699999809265137,9068100
2025-02-14,4.21999979019165,4.28000020980835,4.139999866485596,4.28000020980835,5787700
2025-02-17,4.119999885559082,4.199999809265137,4.039999961853027,4.139999866485596,4920000
2025-02-18,4.199999809265137,4.340000152587891,4.079999923706055,4.079999923706055,9282500
2025-02-19,3.9600000381469727,4.199999809265137,3.9600000381469727,4.179999828338623,14525300
2025-02-20,3.7799999713897705,3.9600000381469727,3.7799999713897705,3.9600000381469727,8074200
2025-02-21,3.5799999237060547,3.859999895095825,3.380000114440918,3.819999933242798,15170400
2025-02-24,3.880000114440918,4.159999847412109,3.5,3.5399999618530273,12632800
2025-02-25,3.4800000190734863,3.880000114440918,3.4800000190734863,3.819999933242798,8766900
2025-02-26,3.640000104904175,3.7200000286102295,3.4600000381469727,3.5199999809265137,10200600
2025-02-27,3.5799999237060547,3.680000066757202,3.4800000190734863,3.619999885559082,4254500
2025-02-28,3.440000057220459,3.680000066757202,3.440000057220459,3.5,46895100
2025-03-03,4.260000228881836,4.360000133514404,3.559999942779541,3.559999942779541,57789800
2025-03-04,4.940000057220459,5.349999904632568,4.139999866485596,4.260000228881836,74470400
2025-03-05,5.400000095367432,5.400000095367432,4.940000057220459,5.0,20574300
2025-03-06,5.25,5.400000095367432,5.099999904632568,5.300000190734863,24731900
2025-03-07,5.5,5.599999904632568,5.25,5.25,15328900
2025-03-10,5.5,5.650000095367432,5.449999809265137,5.5,9388300
2025-03-11,5.599999904632568,5.699999809265137,5.449999809265137,5.5,6367100
2025-03-12,5.5,5.699999809265137,5.300000190734863,5.550000190734863,11177100
2025-03-13,4.880000114440918,5.449999809265137,4.800000190734863,5.449999809265137,20635400
2025-03-14,5.050000190734863,5.25,4.980000019073486,5.099999904632568,15367600
2025-03-17,5.349999904632568,5.550000190734863,5.150000095367432,5.199999809265137,28533300
2025-03-18,5.5,5.599999904632568,5.400000095367432,5.400000095367432,18100300
2025-03-19,5.550000190734863,5.699999809265137,5.5,5.550000190734863,9351200
2025-03-20,5.5,5.650000095367432,5.5,5.550000190734863,9841500
2025-03-21,5.5,5.599999904632568,5.5,5.550000190734863,4304200
2025-03-24,5.550000190734863,5.599999904632568,5.300000190734863,5.5,8058100
2025-03-25,5.5,5.599999904632568,5.5,5.550000190734863,2042700
2025-03-26,5.5,5.650000095367432,5.449999809265137,5.5,4228100
2025-03-27,5.550000190734863,5.550000190734863,5.449999809265137,5.550000190734863,2781500
2025-03-28,5.400000095367432,5.550000190734863,5.400000095367432,5.550000190734863,4237000
2025-03-31,5.550000190734863,5.550000190734863,5.0,5.150000095367432,10200400
2025-04-01,5.5,5.550000190734863,5.5,5.550000190734863,1477900
2025-04-02,6.199999809265137,6.349999904632568,5.550000190734863,5.550000190734863,17356900
2025-04-03,7.050000190734863,7.599999904632568,6.050000190734863,6.099999904632568,35094900
2025-04-04,7.099999904632568,7.25,6.349999904632568,7.050000190734863,39128500
2025-04-08,6.599999904632568,6.949999809265137,6.5,6.550000190734863,18939700
2025-04-09,6.349999904632568,6.800000190734863,6.099999904632568,6.550000190734863,16058300
2025-04-10,6.75,7.0,6.5,6.650000095367432,16447300
2025-04-11,6.449999809265137,6.900000095367432,6.449999809265137,6.900000095367432,8652500
2025-04-16,7.150000095367432,7.349999904632568,6.349999904632568,6.449999809265137,15676300
2025-04-17,7.349999904632568,7.449999809265137,7.050000190734863,7.099999904632568,6116800
2025-04-18,7.650000095367432,7.650000095367432,7.099999904632568,7.300000190734863,11263800
2025-04-21,7.699999809265137,8.149999618530273,7.550000190734863,7.800000190734863,16190500
2025-04-22,7.699999809265137,7.900000095367432,7.650000095367432,7.849999904632568,3425600
2025-04-23,7.349999904632568,7.900000095367432,7.300000190734863,7.75,7530600
2025-04-24,7.550000190734863,7.650000095367432,7.25,7.349999904632568,4965800
2025-04-25,7.650000095367432,7.75,7.400000095367432,7.550000190734863,5082200
2025-04-28,7.050000190734863,7.599999904632568,7.050000190734863,7.599999904632568,9754000
2025-04-29,7.050000190734863,7.5,7.050000190734863,7.099999904632568,9590700
2025-04-30,7.349999904632568,7.449999809265137,7.150000095367432,7.150000095367432,4277700
2025-05-02,7.150000095367432,7.449999809265137,7.150000095367432,7.25,4618500
